title,vegetarian,vegan,glutenFree,dairyFree,ingredients,sustainable,veryHealthy,lowFodmap,ketogenic,healthScore,percentProtein,percentFat,percentCarbs,calories,Fat/g,Vitamin E/mg,Carbohydrates/g,Magnesium/mg,Cholesterol/mg,Zinc/mg,Sodium/mg,Copper/mg,Sugar/g,Fiber/g,Alcohol/g,Diabetes,High Protein,High Fat,Low Carbohydrate,Obesity,BP,Heart
Caesar Salad Deviled Eggs,0,0,0,0,"anchovy,dijon mustard,eggs,fresh flat-leaf parsley,garlic,lemon juice,lemon zest,mayo,olive oil,panko bread crumbs,parmesan cheese,romaine lettuce leaves,salt and pepper,worcestershire sauce",0,0,0,0,10.0,21.76,63.52,14.72,172.79,12.2,1.19,6.36,19.53,214.42,1.03,394.66,0.09,1.36,1.52,0.0,1,0,1,1,0,1,1
Chicken Caesar Salad With Anchovy-caesar Vinaigrette And Garlic,0,0,0,0,"anchovy filets,chicken breasts,dijon mustard,dijon mustard,french baguette,garlic cloves,granulated sugar,granulated sugar,lemon juice,olive oil,parmesan,parmesan,romaine,worcestershire sauce,worcestershire sauce",0,1,0,0,77.0,25.46,52.42,22.12,663.02,39.53,4.93,37.51,122.75,92.92,2.89,897.27,0.36,9.53,11.04,0.0,1,0,1,1,0,1,1
"Escarole Salad With Salt Cod, Anchovies And Olives",0,0,0,1,"anchovy,blanched almonds,bread,chilies,escarole,garlic cloves,hazelnuts,oil packed tuna,olive oil,olives,red wine vinegar,salt,salt cod,tomatoes",0,0,0,0,11.0,22.5,65.46,12.04,135.41,10.28,3.4,4.25,39.74,10.28,0.59,904.3,0.16,1.13,2.16,0.0,1,0,1,1,0,1,1
Bagna Cauda Dip With Assorted Vegetables,0,0,1,0,"butter,canned anchovy fillets,garlic cloves,olive oil,root vegetables",0,0,0,0,24.0,8.27,78.66,13.07,1126.02,100.79,12.98,37.69,68.32,108.39,2.73,2300.46,0.53,1.2,2.43,0.0,1,0,1,1,0,1,1
Sautéed Broccoli Raab With Balsamic Vinegar,0,0,1,1,"aged balsamic vinegar,bell pepper,broccoli raab,garlic,kosher salt,oil packed tuna,olive oil,red pepper flakes",0,1,0,0,100.0,16.75,51.22,32.03,132.12,8.04,4.67,11.31,44.31,0.12,1.39,253.32,0.09,5.32,5.72,0.0,0,0,1,0,0,1,1
Roasted Red Pepper Pasta Sauce,0,0,1,0,"anchovies,cayenne,cheese,fresh sage,garlic cloves,olive oil,onion,red wine,roasted red peppers,sage,salt,smoked paprika,tomato paste",0,0,0,0,1.0,13.98,66.35,19.67,24.61,1.5,0.0,1.0,0.0,2.29,0.0,351.17,0.47,0.21,0.0,0.69,1,0,1,1,0,1,1
Boiled Asparagus With Salsa Verde,0,0,1,1,"anchovy,asparagus,capers,fresh flat-leaf parsley,kosher salt,lemon juice,lemon zest,olive oil,shallot",0,0,0,0,39.0,6.97,82.45,10.58,190.88,18.37,3.92,5.3,20.03,2.4,0.73,230.22,0.23,2.44,2.65,0.0,1,0,1,1,0,1,1
Tender Zucchini Fritters with Green Goddess Dressing,0,0,0,0,"all purpose flour,anchovy,baking powder,beer,black pepper,coarse kosher salt,fresh chives,fresh dill,fresh tarragon,goat cheese,mâche,mayonnaise,olive oil,parsley,white distilled vinegar,zucchini",0,0,0,0,5.0,8.3,81.85,9.85,265.28,24.37,1.59,6.6,22.35,16.74,0.58,486.68,0.21,1.96,0.85,0.19,1,0,1,1,0,1,1
Bagna Cauda Dip with Assorted Vegetables,0,0,1,0,"butter,canned anchovy fillets,garlic cloves,olive oil,root vegetables",0,0,0,0,3.0,8.27,78.5,13.23,282.07,25.2,3.26,9.56,17.3,27.1,0.69,575.19,0.13,0.34,0.64,0.0,1,0,1,1,0,1,1
Pilsner Urquell And Spicy Linguini,0,0,0,1,"breadcrumbs,capers,chili flakes,extra virgin olive oil,flat leaf parsley,garlic,heirloom tomatoes,linguini,olive oil,salt packed anchovies",0,0,0,0,46.0,11.53,26.63,61.84,696.02,20.45,3.03,106.89,79.7,0.0,2.15,726.86,0.44,5.78,5.7,0.0,0,0,0,0,1,1,1
Caesar Salad,0,0,0,0,"anchovy,coarse salt,dijon mustard,garlic cloves,lemon juice,olive oil,parmesan cheese,pepper,romaine lettuce,rustic bread,worcestershire sauce",0,0,0,0,12.0,8.35,61.19,30.46,263.85,18.43,1.21,20.65,27.91,3.01,0.52,258.38,0.08,10.66,4.09,0.0,0,0,1,0,0,1,1
Cook the Book: Sicilian Pizza,0,0,0,0,"active yeast,cheese,flour,garlic cloves,olive oil,onions,oregano,plum tomatoes,salt",0,1,0,0,100.0,15.98,34.79,49.23,2835.41,110.21,7.89,350.92,249.51,238.14,13.22,1658.09,1.13,26.23,29.71,0.0,0,0,0,0,1,1,1
Muffuletta,0,0,1,1,"anchovy,extra virgin olive oil,garlic,ground pepper,horseradish,kalamata olives,lemon juice,oregano,pimento stuffed olives,roasted red bell pepper",0,0,0,0,5.0,1.89,93.56,4.55,608.62,65.7,11.28,7.2,20.96,4.0,0.29,2099.42,0.19,1.13,4.39,0.0,1,0,1,1,0,1,1
Puttanesca Sauce,0,0,1,1,"anchovy,basil,canned tomatoes,capers,crushed red pepper,garlic cloves,kalamata olives,olive oil,salt and pepper,sugar,tomato paste",0,0,0,0,9.0,9.33,57.75,32.92,101.01,7.04,2.5,9.03,24.99,1.6,0.37,440.3,0.23,5.22,2.36,0.0,0,0,1,0,0,1,1
"Spicy Cauliflower Pasta With Garlic, Anchovies And Capers",0,0,0,0,"canned anchovies,cauliflower,fennel seeds,garlic,olive oil,pecorino romano cheese,penne pasta,red pepper flakes,salt and pepper",0,1,0,0,65.0,19.12,29.19,51.69,896.58,29.25,4.41,116.57,158.82,63.5,4.45,2051.43,0.69,7.68,10.6,0.0,0,0,0,0,1,1,1
Roasted Cauliflower with Capers and Bread Crumbs,0,0,0,1,"bread,canned anchovy,capers,cauliflower,chili flakes,garlic,lemon juice,olive oil,parsley,salt",0,0,0,0,31.0,13.07,45.17,41.76,194.19,10.49,1.73,21.83,46.66,0.85,0.92,379.57,0.14,5.78,5.64,0.0,0,0,0,0,1,1,1
Caesar Salad with Anchovy Wrapped Garlic and Savory Lemon Sabayon,0,0,0,0,"anchovy filets,bread crumbs,egg yolks,garlic cloves,kosher salt,lemon juice,lemon zest,milk,oil-packed anchovies,parmesan,romaine hearts,safflower oil",0,0,0,0,27.0,15.97,62.38,21.65,477.94,33.58,7.07,26.22,58.16,186.29,2.23,637.86,0.22,14.58,3.05,0.0,1,0,1,1,0,1,1
Escarole Salad with Chopped Egg and Anchovy Vinaigrette,0,0,1,1,"anchovy,black pepper,escarole,garlic,hard cooked eggs,lemon juice,olive oil,salt",0,1,0,0,57.0,14.1,67.24,18.66,98.24,7.69,1.57,4.8,21.66,47.83,1.19,142.93,0.14,0.53,4.0,0.0,1,0,1,1,0,1,1
"Sautéed Red Cabbage With Onions, Garlic, And Anchovy",0,0,1,0,"anchovy,apple cider vinegar,butter,cabbage,garlic,kosher salt,onion,bell pepper",0,0,0,0,45.0,10.82,40.77,48.41,490.19,24.12,3.23,64.43,127.86,62.6,2.08,568.26,0.23,34.65,25.33,0.0,0,0,0,0,1,1,1
Fish Cake Soup (odeng Tang),0,0,1,1,"anchovies,daikon,fish,green onion,kombu,soy sauce,soy sauce",0,0,0,0,31.0,77.52,16.35,6.13,196.25,3.58,0.79,3.02,66.87,87.0,1.05,2114.22,0.22,0.92,0.63,0.0,1,1,0,1,1,1,1
Roasted Green Beans With Bagna Cauda,0,0,0,0,"anchovy,clabber girl baking powder,flour,fresh green beans,garlic,juice of lemon,kosher salt,olive oil,parsley,smoked paprika,unsalted butter",0,0,0,0,6.0,4.99,77.6,17.41,337.08,30.18,3.81,15.23,34.45,26.18,0.49,210.5,0.11,3.86,3.42,0.0,1,0,1,1,0,1,1
Fresh Bloody Mary,0,0,1,1,"anchovy,celery,celery seeds,english cucumber,flat leaf parsley leaves,fresh horseradish,ground pepper,heirloom tomatoes,hot sauce,kosher salt,lime,lime juice,ribs celery,sea salt,vodka,worcestershire sauce",0,0,0,0,35.0,15.96,9.12,74.92,74.45,0.89,1.61,16.51,47.03,0.6,0.73,807.29,0.23,9.07,4.59,0.0,0,0,0,0,1,1,1
Caesar Salad,0,0,1,0,"dry mustard,garlic cloves,lemon juice,olive oil,olive oil,parmesan cheese,bell pepper,plain yogurt,romaine lettuce,salt",0,0,0,0,42.0,12.33,49.3,38.37,49.88,2.75,1.47,4.81,10.56,1.52,0.26,229.48,0.0,3.24,1.59,0.0,0,0,0,0,1,1,1
Romaine Salad with Anchovy Dressing and Parmesan,0,0,1,0,"anchovy,garlic cloves,hearts of romaine,lemon juice,olive oil,parmigiano reggiano,white-wine vinegar",0,0,0,1,18.0,22.06,71.38,6.56,155.56,12.5,1.09,2.59,16.75,15.96,0.74,346.96,0.04,0.78,0.92,0.0,1,0,1,1,0,1,1
Queso Manchego con Aceitunas y Piquillos,0,0,1,0,"anchovy,extra virgin olive oil,fresh parsley,manchego cheese,oil cured black olives,piquillo peppers",0,0,0,1,7.0,18.34,72.45,9.21,60.34,4.8,0.31,1.37,0.0,10.71,0.0,172.48,0.0,0.37,0.3,0.0,1,0,1,1,0,1,1
Olive Tapenade,0,0,1,1,"anchovy fillets,cognac,fresh flat-leaf parsley,garlic cloves,lemon juice,oil cured black olives,olive oil,white pepper",0,0,0,0,6.0,4.1,90.12,5.78,440.59,43.3,7.86,6.25,20.59,8.87,0.38,1593.72,0.18,0.88,3.69,3.76,1,0,1,1,0,1,1
Stuffed Flank Steak,0,0,0,0,"anchovy,bread crumbs,flank steak,fresh flat-leaf parsley,garlic cloves,olive oil,oregano,parmigiano reggiano cheese,pine nuts,salami,salt and pepper",0,0,0,0,0.0,25.36,57.9,16.74,9.37,0.61,0.0,0.39,0.0,1.38,0.0,207.52,0.0,0.04,0.0,0.0,1,0,1,1,0,1,1
Corn Risotto Garnished with Bacon & Anchovy Sage Leaf Bite,0,0,1,0,"anchovy,arborio rice,bacon,butter,canola oil,chicken stock,ears of corn,egg,fresh sage,olive oil,onion,bell pepper,rice flour,romano cheese,sage,salt and pepper,chardonney",0,0,0,0,29.0,12.99,53.99,33.02,758.48,45.42,5.12,62.51,65.16,92.81,2.42,1067.64,9.42,9.83,4.12,0.0,0,0,1,0,0,1,1
Grilled Lettuces with Manchego,0,0,1,0,"canned anchovy,gem squash,lemon,lemon juice,manchego cheese,olive oil,salt and pepper",0,1,0,0,67.0,17.49,47.7,34.81,223.56,13.24,1.76,21.75,99.21,15.8,1.68,319.39,0.3,13.23,7.0,0.0,0,0,0,0,1,1,1
Crostini With Beef Tartare And White Truffle Oil,0,0,1,1,"anchovy,beef tenderloin,capers,crostini,dijon mustard,egg,fresh flat-leaf parsley,garlic cloves,kosher salt,olive oil,orange zest,shallots,truffle oil,worcestershire sauce",0,0,0,0,12.0,18.89,78.68,2.43,501.2,43.63,2.68,3.03,33.0,133.31,3.82,446.05,0.15,0.44,0.65,0.0,1,0,1,1,0,1,1
"Roasted Radicchio with Anchovy Vinaigrette, Preserved Lemon, and Breadcrumbs",0,0,0,0,"bread cubes,coarse sea salt,garlic clove,lemon,lemon juice,lemon juice,olive oil,olive oil,oregano,parmesan cheese,parmesan cheese,radicchio,red pepper,sugar",0,0,0,0,12.0,14.94,67.12,17.94,397.34,30.39,5.31,18.28,38.38,22.1,1.73,2189.53,0.37,3.22,2.25,0.0,1,0,1,1,0,1,1
Green Goddess Salad,0,0,1,0,"anchovy fillets,avocado,basil leaves,bell pepper,chives,corn kernels,cucumber,dill,fine grain sea salt,flat leaf parsley leaves,hard-boiled eggs,lemon juice,radishes,romaine lettuce,scallion,tomatoes,yogurt,unrefined",0,1,0,0,100.0,10.18,51.52,38.3,263.28,16.52,4.48,27.63,87.73,6.58,1.81,359.55,0.41,12.07,14.01,0.0,0,0,1,0,0,1,1
Pasta With Anchovy-walnut Sauce,0,0,0,1,"black pepper,black pepper,canned anchovy,crushed red pepper,crushed red pepper,flat leaf parsley,garlic cloves,olive oil,olive oil,salt,salt,spaghetti pasta,spaghetti pasta,walnuts",0,1,0,0,82.0,12.11,28.18,59.71,590.1,18.55,1.54,88.47,90.16,1.27,2.22,365.82,0.59,3.53,5.2,0.0,0,0,0,0,1,1,1
Caesar Salad With Poached Eggs,0,0,0,0,"anchovy,bread,eggs,garlic clove,lemon juice,mayonnaise,olive oil,parmigiano reggiano cheese,romaine hearts,Salt & Pepper,worcestershire sauce",0,0,0,0,2.0,13.99,71.34,14.67,132.01,10.48,1.18,4.85,9.11,99.96,0.49,302.86,0.04,0.82,0.59,0.0,1,0,1,1,0,1,1
Pissaldiere,0,0,1,1,"canned anchovies,fresh thyme leaves,kalamata olives",0,0,1,0,11.0,35.43,60.52,4.05,189.7,12.9,3.73,1.94,45.25,48.45,1.42,2837.68,0.25,0.26,1.64,0.0,1,1,1,1,0,1,1
Roasted Asparagus With Rosemary And Anchovies Wrapped In Pancetta,0,0,1,0,"anchovy,asparagus spears,bacon rashers,butter,fresh rosemary,lemon,olive oil,sea-salt",0,0,0,0,33.0,12.07,79.15,8.78,741.6,67.24,7.32,16.77,72.23,112.83,3.41,951.13,0.8,7.41,8.32,0.0,1,0,1,1,0,1,1
Beans And Salsa Verde,0,0,1,1,"anchovies,capers,dried beans,garlic,olive oil,parsley,salsa verde,salt and pepper,soak",0,1,0,0,100.0,20.0,26.38,53.62,712.04,21.3,3.22,97.39,223.21,4.0,4.6,571.4,1.13,5.39,23.82,0.0,0,0,0,0,1,1,1
Pepper Pasta,0,0,0,1,"anchovies,bell pepper,broth,cooking oil,food dye,food dye,garlic,leek,olive oil,parsley,peppers,pork links,rustic loaf,whole wheat penne",0,0,0,0,18.0,10.25,51.52,38.23,591.76,34.0,4.39,56.76,39.4,22.74,1.13,506.85,0.19,14.19,8.55,0.0,0,0,1,0,0,1,1
Grilled Prawns With Pistou,0,0,1,1,"anchovy,coarse salt,fresh basil leaves,fresh flat-leaf parsley,garlic cloves,lemon zest,olive oil,prawns,whole almonds",0,0,0,0,30.0,16.13,76.78,7.09,215.55,18.95,4.76,3.94,50.6,52.56,1.11,355.71,0.24,0.59,1.97,0.0,1,0,1,1,0,1,1
Chicken Caesar Salad,0,0,0,0,"anchovy,chicken cutlets,chicken cutlets,coarse salt,garlic clove,italian bread,lemon juice,low fat mayonnaise,olive oil,parmesan,romaine hearts",0,0,0,0,47.0,44.2,43.59,12.21,725.21,34.56,2.67,21.79,116.04,225.29,2.56,910.57,0.17,11.22,3.73,0.0,1,1,0,1,1,1,1
Spaghetti Puttanesca,0,0,0,1,"anchovies,canned tomatoes,capers,coarse salt,crushed red pepper,garlic cloves,kalamata olives,olive oil,spaghetti",0,0,0,0,32.0,14.06,13.99,71.95,368.07,5.8,2.58,67.19,70.79,2.4,1.53,627.68,0.5,7.93,5.45,0.0,0,0,0,0,1,1,1
Orecchiette With Broccoli Rabe,0,0,0,0,"broccoli rabe,broccoli rabe,crushed red pepper,crushed red pepper,garlic,lemon wedges,olive oil,orecchiette pasta,orecchiette pasta,parmesan cheese,salt and pepper",0,1,0,0,100.0,17.58,20.36,62.06,1157.19,26.37,7.81,180.91,209.08,20.4,6.67,802.98,0.82,7.64,16.56,0.0,0,0,0,0,1,1,1
Lightened Green Goddess Dressing,0,0,1,0,"anchovy,coarse salt,garlic clove,light mayonnaise,low fat plain yogurt,oil,parsley leaves,scallion,shrimp,white-wine vinegar,white-wine vinegar",0,0,0,0,5.0,20.82,76.45,2.73,189.09,16.0,3.1,1.28,18.19,115.81,0.99,594.79,0.13,0.69,0.0,0.0,1,0,1,1,0,1,1
Caramelized Onion Tart With Olives,0,0,0,0,"anchovy,fresh thyme,oil cured black olives,olive oil,onions,puff pastry,unsalted butter",0,0,0,0,4.0,5.23,66.12,28.65,467.83,34.82,1.77,33.94,23.54,10.03,0.56,291.01,0.13,2.83,2.62,0.0,0,0,1,0,0,1,1
"Shelling Bean, Haricots Verts & Zucchini Salad With Anchovies",0,0,1,0,"anchovy,basil leaves,black pepper,cranberry beans,garlic,haricots verts,kosher salt,kosher salt,lemon juice,olive oil,parmesan cheese,zucchini",0,1,0,0,100.0,21.23,34.2,44.57,1235.02,48.75,6.91,142.94,386.93,37.28,8.39,1699.48,1.54,18.04,55.79,0.0,0,0,0,0,1,1,1
Mediterranean Salad Platter,0,0,1,0,"balsamic vinegar,capers,feta cheese,green olives,kalamata olives,oil packed tuna,olive oil,olive oil,pepper,red bell peppers,red onions,salt,tomatoes,zucchini",0,0,0,0,37.0,10.82,70.39,18.79,423.96,34.11,6.06,20.48,62.45,27.54,1.8,1009.19,0.23,13.92,5.51,0.0,1,0,1,1,0,1,1
"White Anchovy, Parmesan & Grilled Bread Salad",0,0,0,0,"bread,carrot,celery stalks,fennel bulb,flat leaf parsley leaves,green onion tops,juice of lemon,oil cured black olives,olive oil,parmigiano reggiano cheese,salt and pepper,white wine vinegar",0,0,0,0,3.0,17.03,54.43,28.54,60.41,3.72,0.39,4.39,8.32,3.4,0.26,321.7,0.02,0.61,0.79,0.0,0,0,1,0,0,1,1
"Pizza Recipe With Mozzarella, Anchovies, Chilli, Capers & Parsley",0,0,1,0,"anchovy,capers,chilli,extra virgin olive oil,fresh flat leaf parsley,juice of lemon,mozzarella,sea-salt,tomato sauce",0,0,0,1,18.0,21.58,71.36,7.06,422.95,34.02,3.06,7.57,37.42,76.75,2.94,1038.17,0.13,4.11,1.1,0.0,1,0,1,1,0,1,1
Sage-rubbed Pork Tenderloins with Sage Butter,0,0,1,0,"anchovy fillet,black pepper,brown sugar,coarse kosher salt,dried sage,fresh sage leaves,garlic clove,garlic powder,olive oil,pork tenderloins,unsalted butter",0,0,0,0,22.0,44.03,53.71,2.26,301.1,17.63,1.13,1.67,46.13,124.07,2.98,519.22,1.38,0.76,0.34,0.0,1,1,1,1,0,1,1
Turkey Sandwich With Tapenade And Fontina,0,0,0,0,"anchovy,bread,capers,fontina cheese,garlic clove,lemon juice,olive oil,olives,bell pepper,turkey",0,0,0,0,21.0,31.81,46.5,21.69,362.81,18.7,2.17,19.62,48.45,91.65,2.98,681.55,0.15,5.45,3.18,0.0,1,1,0,1,1,1,1
Panzanella With Anchovy And Mint,0,0,0,1,"anchovy,bread,capers,cherry tomatoes,cucumber,garlic,mint,red onion,sea salt,sea-salt,sherry vinegar",0,0,0,0,4.0,17.11,10.2,72.69,78.83,0.92,0.51,14.72,24.71,0.8,0.48,765.06,0.14,4.13,1.98,0.0,0,0,0,0,1,1,1
Caesar-Style Dressing,0,0,1,0,"capers,dijon mustard,garlic clove,kosher salt,lemon juice,mayonnaise,oil-packed anchovies,parmigiano reggiano cheese,water",0,0,0,0,1.0,3.66,94.59,1.75,276.85,29.17,1.36,1.22,5.98,20.21,0.25,675.3,0.03,0.87,0.0,0.0,1,0,1,1,0,1,1
Linguine Puttanesca With Chickpeas,0,0,0,1,"anchovies,black olives,canned tomatoes,capers,chickpeas,fresh parsley,garlic,linguine,olive oil,red pepper flakes,salt",0,1,0,0,90.0,14.28,17.22,68.5,673.8,13.19,5.28,118.03,142.1,3.2,3.17,943.69,1.03,16.84,12.72,0.0,0,0,0,0,1,1,1
Caesar Soup,0,0,0,0,"bread,canned anchovy,chicken broth,escarole,extra virgin olive oil,garlic,juice of lemon,romaine lettuce,romano cheese,salt and pepper,worcestershire sauce",0,0,0,0,28.0,14.14,62.75,23.11,485.03,34.56,4.33,28.64,59.43,32.62,2.74,2010.09,0.33,3.47,6.53,0.0,0,0,1,0,0,1,1
"Young Green Bean, Anchovy and Potato Salad",0,0,1,1,"anchovy fillets,green beans,hard cooked eggs,lemon juice,oil cured black olives,olive oil,oregano,bell pepper,red onion,salt,tomatoes,yukon gold potatoes",0,0,0,0,52.0,14.57,51.45,33.98,377.57,22.45,5.17,33.36,83.33,190.1,1.65,550.31,0.66,10.46,9.35,0.0,0,0,1,0,0,1,1
Green Goddess Chicken Wraps,0,0,0,0,"anchovy,baby spinach,burrito-size tortillas,capers,chives,flat-leaf parsley,garlic clove,kosher salt,lemon juice,mayonnaise,muenster cheese,mushrooms,rotisserie chicken,sour cream,tarragon,white wine vinegar,yellow bell pepper",0,0,0,0,31.0,18.3,58.99,22.71,669.97,44.3,1.96,38.38,81.0,108.43,2.33,1186.58,0.31,5.13,2.98,0.0,0,0,1,0,0,1,1
Grissini With Anchovy Dip,0,0,0,0,"anchovies,anchovy,butter,chilli flakes,corn bread mix,flat-leaf parsley,garlic cloves,olive oil,parmesan,rosemary leaves",0,0,0,0,9.0,6.7,47.63,45.67,772.07,41.01,3.35,88.48,40.63,39.48,1.14,1198.6,0.16,25.61,8.87,0.0,0,0,0,0,1,1,1
Multilayered Anchovy Bread,0,0,0,1,"active yeast,anchovy,flour,hungarian paprika,olive oil,olive oil,oregano,salt,salt,semolina flour,water",0,0,0,0,16.0,9.29,45.86,44.85,172.98,8.89,1.49,19.57,12.83,0.8,0.44,294.89,0.06,0.11,1.75,0.0,0,0,0,0,1,1,1
"Braised Chicken Thighs With Tomato, Capers, Anchovies & Olives",0,0,1,1,"anchovy,bell pepper,bone-in chicken thighs,canned tomatoes,capers,dry white wine,extra virgin olive oil,garlic,kosher salt,olives,oregano,parsley",0,0,0,0,47.0,25.34,61.8,12.86,708.54,48.25,5.81,22.6,105.15,238.55,3.91,1083.64,0.56,12.26,6.7,2.06,1,0,1,1,0,1,1
Stuffed Cornuto Peppers,0,0,0,1,"anchovies,basil,black olives,bread crumbs,capers,garlic,olive oil,parsley,peppers,salt and pepper,sun-dried tomatoes",0,1,0,0,76.0,10.82,36.49,52.69,671.29,27.53,4.16,89.44,85.64,3.2,2.21,1394.34,0.52,11.64,9.21,0.0,0,0,0,0,1,1,1
Black Truffle Pasta,0,0,0,0,"anchovies,butter,fettucine,garlic,olive oil,bell pepper,salt,truffles",0,1,0,0,100.0,12.28,26.89,60.83,3229.91,96.35,11.82,490.41,407.91,606.86,13.44,1419.9,2.06,15.96,24.08,0.0,0,0,0,0,1,1,1
Pasta With Strong Tomato Sauce,0,0,0,1,"anchovies,black olives,cooking oil,farfalle,food dye,food dye,garlic,olive oil,parsley,pork links,red pepper flakes,rustic loaf,tomatoes,pelati",0,0,0,0,20.0,10.76,40.58,48.66,735.64,33.11,3.76,89.34,72.33,18.19,2.21,337.14,0.38,10.55,5.17,0.0,0,0,0,0,1,1,1
Kale Salad With Walnuts And Soft-boiled Eggs,0,0,1,0,"anchovy,garlic clove,ground cumin,hard-boiled eggs,kale,kosher salt,lemon juice,olive,parmesan,red pepper flakes,walnuts",0,1,0,1,68.0,20.6,69.91,9.49,817.34,66.24,2.6,20.21,164.3,410.6,4.78,1506.5,1.99,3.97,4.92,0.0,1,0,1,1,0,1,1
Spaghetti With Green Olive Sauce,0,0,0,1,"breadcrumbs,coarse salt,garlic,green olives,olive oil,red pepper flakes,salt packed anchovies,spaghetti",0,0,0,0,25.0,10.95,28.82,60.23,676.27,21.59,3.56,101.54,73.83,0.0,1.95,1107.83,0.43,4.52,5.88,0.0,0,0,0,0,1,1,1
Bagna Cauda Panini,0,0,0,0,"coarse salt,focaccia,fresh chives,fresh flat-leaf parsley,fresh mozzarella,juice of lemon,oil packed tuna,radishes,unsalted butter",0,0,0,0,12.0,12.04,23.83,64.13,8069.09,217.39,2.11,1316.19,37.12,233.1,2.95,15689.03,0.09,47.58,46.78,0.0,0,0,0,0,1,1,1
Fried Squash Blossoms,0,0,0,0,"anchovies in salt,baking powder,buffalo mozzarella,cake flour,coarse salt,cornstarch,olive oil,sparkling water,squash blossoms",0,0,0,0,3.0,12.34,56.21,31.45,137.3,8.6,0.82,10.82,0.0,10.77,0.0,411.62,0.02,0.16,0.3,0.0,0,0,1,0,0,1,1
"Broccoli With Burrata, Pine Nuts And Warm Anchovy Vinaigrette",0,0,0,0,"anchovy filets,breadcrumbs,broccoli,buffalo mozzarella,dried chili flakes,fresh thyme,garlic,juice of lemon,olive oil,parsley leaves,pine nuts,salt and pepper,shallot,unsalted butter",0,0,0,0,25.0,14.71,71.44,13.85,653.94,53.28,4.35,23.24,63.59,94.81,1.58,719.35,0.28,4.41,3.85,0.0,1,0,1,1,0,1,1
Puntarella Dressing,0,0,1,1,"anchovies,garlic,juice of lemon,olive oil,salt",0,0,0,0,3.0,1.11,97.98,0.91,653.08,72.42,10.39,1.51,4.5,4.8,0.18,591.72,0.03,0.22,0.0,0.0,1,0,1,1,0,1,1
Pasta With Broccoli,0,0,0,1,"anchovies,garlic,olive oil,pasta,red pepper flakes",0,0,0,0,40.0,11.16,30.11,58.73,594.49,19.81,3.44,86.91,66.48,3.6,1.83,46.83,0.37,3.21,4.4,0.0,0,0,0,0,1,1,1
Tapenade Crostini,0,0,0,1,"anchovy fillets,baguette,cognac,fresh flat-leaf parsley,fresh flat-leaf parsley,garlic clove,garlic cloves,lemon juice,oil cured black olives,olive oil,white pepper",0,0,0,0,2.0,8.1,55.82,36.08,65.19,3.98,0.69,5.78,4.64,0.74,0.0,196.77,0.04,0.16,0.6,0.31,0,0,1,0,0,1,1
Dinner Tonight: Tomato Sauce with Mushrooms and Anchovy,0,0,0,0,"anchovy,canned tomatoes,fresh rosemary,garlic,olive oil,onion,parmesan,salt and pepper,short pasta,white mushrooms",0,0,0,0,53.0,17.08,29.04,53.88,728.5,23.77,3.48,99.22,107.74,21.6,3.38,830.51,0.91,10.95,7.12,0.0,0,0,0,0,1,1,1
Roasted Salmon With Spicy Cauliflower,0,0,1,1,"anchovy,cauliflower,cauliflower,coarse salt,garlic cloves,lemon,olive oil,olive oil,olive oil,red pepper flakes,red pepper flakes,salmon fillets,salmon fillets",0,1,0,0,100.0,36.9,47.15,15.95,821.23,44.31,3.65,33.73,177.28,188.31,3.55,488.82,1.08,11.41,12.25,0.0,1,1,0,1,1,1,1
Parmesan Chicken With Caesar Roasted Romaine,0,0,0,0,"anchovy,asiago cheese,flat-leaf parsley,garlic cloves,hearts of romaine,kosher salt,lemon,olive oil,panko,skinless boneless chicken breasts",0,1,0,0,90.0,47.49,42.07,10.44,1663.91,77.0,8.26,42.95,290.34,546.54,7.22,2058.64,0.52,7.72,9.51,0.0,1,1,0,1,1,1,1
"Romaine Lettuce dressed with Anchovy Puree, Crumbled Hard Boiled Egg and Toasted Whole Grain Bread Bites",0,0,0,0,"anchovy,chicken stock,eggs,extra virgin olive oil,flat leaf parsley,garlic cloves,lemon juice,multi grain bread,parmesan cheese,red chile flakes,romaine hearts",0,0,0,0,28.0,17.78,66.45,15.77,545.76,40.86,4.92,21.83,67.18,191.06,2.5,700.5,0.28,4.27,4.66,0.0,1,0,1,1,0,1,1
Pan-seared Steak With Caper-anchovy Butter,0,0,1,0,"anchovy,bell pepper,canola oil,capers,fresh parsley,garlic,kosher salt,lemon zest,tri-tip steaks,unsalted butter",0,0,0,0,22.0,28.22,68.15,3.63,521.77,39.15,3.46,4.69,46.25,159.26,6.34,303.62,0.14,3.16,1.62,0.0,1,1,1,1,0,1,1
Panzanella,0,0,0,0,"bread cubes,fresh basil leaves,lemon juice,oil cured black olives,olive oil,parmesan,parsley,red onion,red wine vinegar,salt,tomatoes",0,0,0,0,10.0,10.19,55.34,34.47,284.76,17.94,3.12,25.14,38.83,4.25,0.88,567.83,0.17,6.61,3.73,0.0,0,0,1,0,0,1,1
Escarole and Roasted Broccoli Salad with Anchovy Dressing,0,0,1,0,"anchovy,asiago cheese,broccoli,egg yolks,escarole,garlic cloves,lemon juice,marjoram,olive oil,parsley,salt",0,0,0,0,37.0,8.49,78.73,12.78,198.75,18.18,3.15,6.64,22.07,39.55,0.57,268.41,0.06,1.64,2.44,0.0,1,0,1,1,0,1,1
